pose,ir
[-0.001307  0.000068 -0.094453],	[ 0.301  0.145  0.829  0.116  0.412  0.348]
[-0.001307  0.000068 -0.094453],	[ 0.397  0.131  0.859  0.111  0.226  0.281]
[-0.001307  0.000068 -0.094453],	[ 0.441  0.133  0.844  0.231  0.154  0.217]
[-0.001307  0.000068 -0.094453],	[ 0.529  0.117  0.717  1.071  0.164  0.186]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.129  0.829  1.071  0.175  0.171]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.190  0.859  1.071  0.141  0.199]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.244  0.844  1.071  0.177  0.205]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.291  0.844  1.052  0.186  0.189]
[-0.001307  0.000068 -0.094453],	[ 1.620  0.316  0.859  1.090  0.196  0.186]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.302  0.844  0.188  0.203  0.186]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.316  0.859  0.535  0.200  0.191]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.335  0.859  0.347  0.196  0.195]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.339  0.859  1.110  0.196  0.201]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.335  0.859  1.110  0.235  0.197]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.309  0.859  1.071  0.248  0.209]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.266  0.844  1.071  0.218  0.217]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.278  0.844  1.090  0.321  0.225]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.288  0.844  1.110  0.203  0.225]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.327  0.717  1.052  0.253  0.223]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.312  0.704  0.515  0.207  0.233]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.305  0.859  0.772  0.253  0.235]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.305  0.717  0.535  0.253  0.233]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.305  0.730  0.586  0.180  0.229]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.075  0.859  0.565  0.226  0.243]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.275  0.844  1.071  0.328  0.249]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.242  0.844  0.565  0.356  0.249]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.199  0.859  0.575  0.235  0.251]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.216  0.844  0.575  0.235  0.245]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.260  0.859  0.575  0.321  0.235]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.278  0.875  0.586  0.356  0.241]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.291  0.814  0.608  0.348  0.277]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.320  0.814  0.555  0.580  0.283]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.320  0.844  0.545  0.356  0.290]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.348  0.844  0.565  0.448  0.289]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.799  0.545  0.735  0.290]
[-0.001307  0.000068 -0.094453],	[ 1.600  0.352  0.844  0.197  0.619  0.290]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.234  0.859  0.180  0.544  0.307]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.196  0.717  0.815  0.279  0.305]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.232  0.844  1.071  0.132  0.298]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.269  0.859  1.071  0.130  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.327  0.859  0.772  0.412  0.337]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.369  0.844  0.277  1.055  0.269]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.331  0.859 -0.050  1.171  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.352  0.859 -0.032  1.196  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.600  0.348  0.875  0.000  1.196  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.348  0.859  1.052  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.327  0.814  0.437  0.689  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.205  0.859  0.296  0.784  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.620  0.260  0.771  0.227  0.735  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.278  0.859  0.619  0.751  0.337]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.302  0.859  0.608  0.949  0.350]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.365  0.799  0.758  0.568  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.335  0.844  0.488  0.555  0.305]
